ops	steps	M	K	N	zone
279232	2690059340	196	11	18332	1,1,2,1,1,3,2
279246	2690352720	196	11	18333	1,1,2,1,1,4,1
279264	2690646144	196	11	18334	1,1,2,1,1,5
279278	2690939556	196	11	18335	1,1,2,1,1,3,1,1
279293	2691232988	196	11	18336	1,1,2,1,1,2,1,2
279307	2691526432	196	11	18337	1,1,2,1,1,2,1,1,1
279324	2691819904	196	11	18338	1,1,2,1,1,1,1,1,2
279338	2692113380	196	11	18339	1,1,2,1,1,1,1,1,1,1
279353	2692406876	196	11	18340	1,1,2,1,1,1,1,1,2
279367	2692700384	196	11	18341	1,1,2,1,1,1,1,2,1
279383	2692993924	196	11	18342	1,1,2,1,1,1,1,3
279397	2693287464	196	11	18343	1,1,2,1,1,1,1,1,1,1
279412	2693581024	196	11	18344	1,1,2,1,1,1,1,1,2
279426	2693874596	196	11	18345	1,1,2,1,1,1,1,1,1,1
279443	2694168196	196	11	18346	1,1,2,1,1,1,1,1,2
279457	2694461800	196	11	18347	1,1,2,1,1,1,1,1,1,1
279472	2694755424	196	11	18348	1,1,2,1,1,1,2,2
279486	2695049060	196	11	18349	1,1,2,1,1,1,3,1
279503	2695342736	196	11	18350	1,1,2,1,1,1,4
279517	2695636404	196	11	18351	1,1,2,1,1,1,2,1,1
279532	2695930092	196	11	18352	1,1,2,1,1,1,1,1,2
279546	2696223792	196	11	18353	1,1,2,1,1,1,1,1,1,1
279563	2696517520	196	11	18354	1,1,2,1,1,1,1,1,2
279577	2696811252	196	11	18355	1,1,2,1,1,1,1,1,1,1
279592	2697105004	196	11	18356	1,1,2,1,1,1,1,1,2
279606	2697398768	196	11	18357	1,1,2,1,1,1,1,2,1
279622	2697692564	196	11	18358	1,1,2,1,1,1,1,3
279636	2697986360	196	11	18359	1,1,2,1,1,1,1,1,1,1
279651	2698280176	196	11	18360	1,1,2,1,1,1,1,1,2
279665	2698574004	196	11	18361	1,1,2,1,1,1,1,1,1,1
279682	2698867860	196	11	18362	1,1,2,1,1,2,1,2
279696	2699161720	196	11	18363	1,1,2,1,1,2,1,1,1
279711	2699455600	196	11	18364	1,1,2,1,1,3,2
279725	2699749492	196	11	18365	1,1,2,1,1,4,1
279745	2700043436	196	11	18366	1,1,3,1,5
279759	2700337360	196	11	18367	1,1,3,1,3,1,1
279774	2700631304	196	11	18368	1,1,3,1,2,1,2
279788	2700925260	196	11	18369	1,1,3,1,2,1,1,1
279805	2701219244	196	11	18370	1,1,3,1,1,1,1,2
279819	2701513232	196	11	18371	1,1,3,1,1,1,1,1,1
279834	2701807240	196	11	18372	1,1,3,1,1,1,1,2
279848	2702101260	196	11	18373	1,1,3,1,1,1,2,1
279864	2702395312	196	11	18374	1,1,3,1,1,1,3
279878	2702689364	196	11	18375	1,1,3,1,1,1,1,1,1
279893	2702983436	196	11	18376	1,1,3,1,1,1,1,2
279907	2703277520	196	11	18377	1,1,3,1,1,1,1,1,1
279924	2703571632	196	11	18378	1,1,3,1,1,1,1,2
279938	2703865748	196	11	18379	1,1,3,1,1,1,1,1,1
279953	2704159884	196	11	18380	1,1,3,1,1,2,2
279967	2704454032	196	11	18381	1,1,3,1,1,3,1
279984	2704748220	196	11	18382	1,1,3,1,1,4
279998	2705042400	196	11	18383	1,1,3,1,1,2,1,1
280013	2705336600	196	11	18384	1,1,3,1,1,1,1,2
280027	2705630812	196	11	18385	1,1,3,1,1,1,1,1,1
280044	2705925052	196	11	18386	1,1,3,1,1,1,1,2
280058	2706219296	196	11	18387	1,1,3,1,1,1,1,1,1
280073	2706513560	196	11	18388	1,1,3,1,1,1,1,2
280087	2706807836	196	11	18389	1,1,3,1,1,1,2,1
280103	2707102144	196	11	18390	1,1,3,1,1,1,3
280117	2707396452	196	11	18391	1,1,3,1,1,1,1,1,1
280132	2707690780	196	11	18392	1,1,3,1,1,1,1,2
280146	2707985120	196	11	18393	1,1,3,1,1,1,1,1,1
280163	2708279488	196	11	18394	1,1,3,1,2,1,2
280177	2708573860	196	11	18395	1,1,3,1,2,1,1,1
280192	2708868252	196	11	18396	1,1,3,1,3,2
280206	2709162656	196	11	18397	1,1,3,1,4,1
280224	2709457104	196	11	18398	1,1,4,5
280238	2709751540	196	11	18399	1,1,4,3,1,1
280253	2710045996	196	11	18400	1,1,4,2,1,2
280267	2710340464	196	11	18401	1,1,4,2,1,1,1
280284	2710634960	196	11	18402	1,1,4,1,1,1,2
280298	2710929460	196	11	18403	1,1,4,1,1,1,1,1
280313	2711223980	196	11	18404	1,1,4,1,1,1,2
280327	2711518512	196	11	18405	1,1,4,1,1,2,1
280343	2711813076	196	11	18406	1,1,4,1,1,3
280357	2712107640	196	11	18407	1,1,4,1,1,1,1,1
280372	2712402224	196	11	18408	1,1,4,1,1,1,2
280386	2712696820	196	11	18409	1,1,4,1,1,1,1,1
280403	2712991444	196	11	18410	1,1,4,1,1,1,2
280417	2713286072	196	11	18411	1,1,4,1,1,1,1,1
280432	2713580720	196	11	18412	1,1,4,1,2,2
280446	2713875380	196	11	18413	1,1,4,1,3,1
280463	2714170080	196	11	18414	1,1,5,4
280477	2714464772	196	11	18415	1,1,5,2,1,1
280492	2714759484	196	11	18416	1,1,5,1,1,2
280506	2715054208	196	11	18417	1,1,5,1,1,1,1
280523	2715348960	196	11	18418	1,1,5,1,1,2
280537	2715643716	196	11	18419	1,1,5,1,1,1,1
280552	2715938492	196	11	18420	1,1,5,1,1,2
280566	2716233280	196	11	18421	1,1,5,1,2,1
280582	2716528100	196	11	18422	1,1,5,1,3
280596	2716822920	196	11	18423	1,1,5,1,1,1,1
280611	2717117760	196	11	18424	1,1,5,1,1,2
280625	2717412612	196	11	18425	1,1,5,1,1,1,1
280642	2717707492	196	11	18426	1,1,6,1,2
280656	2718002376	196	11	18427	1,1,6,1,1,1
280671	2718297280	196	11	18428	1,1,7,2
280685	2718592196	196	11	18429	1,1,8,1
280707	2718887192	196	11	18430	1,1,9
280721	2719182140	196	11	18431	1,1,7,1,1
280736	2719477108	196	11	18432	1,1,6,1,2
280750	2719772088	196	11	18433	1,1,6,1,1,1
280767	2720067096	196	11	18434	1,1,5,1,1,2
280781	2720362108	196	11	18435	1,1,5,1,1,1,1
280796	2720657140	196	11	18436	1,1,5,1,1,2
280810	2720952184	196	11	18437	1,1,5,1,2,1
280826	2721247260	196	11	18438	1,1,5,1,3
280840	2721542336	196	11	18439	1,1,5,1,1,1,1
280855	2721837432	196	11	18440	1,1,5,1,1,2
280869	2722132540	196	11	18441	1,1,5,1,1,1,1
280886	2722427676	196	11	18442	1,1,5,1,1,2
280900	2722722816	196	11	18443	1,1,5,1,1,1,1
280915	2723017976	196	11	18444	1,1,5,2,2
280929	2723313148	196	11	18445	1,1,5,3,1
280946	2723608360	196	11	18446	1,1,4,1,4
280960	2723903564	196	11	18447	1,1,4,1,2,1,1
280975	2724198788	196	11	18448	1,1,4,1,1,1,2
280989	2724494024	196	11	18449	1,1,4,1,1,1,1,1
281006	2724789288	196	11	18450	1,1,4,1,1,1,2
281020	2725084556	196	11	18451	1,1,4,1,1,1,1,1
281035	2725379844	196	11	18452	1,1,4,1,1,1,2
281049	2725675144	196	11	18453	1,1,4,1,1,2,1
281065	2725970476	196	11	18454	1,1,4,1,1,3
281079	2726265808	196	11	18455	1,1,4,1,1,1,1,1
281094	2726561160	196	11	18456	1,1,4,1,1,1,2
281108	2726856524	196	11	18457	1,1,4,1,1,1,1,1
281125	2727151916	196	11	18458	1,1,4,2,1,2
281139	2727447312	196	11	18459	1,1,4,2,1,1,1
281154	2727742728	196	11	18460	1,1,4,3,2
281168	2728038156	196	11	18461	1,1,4,4,1
281186	2728333628	196	11	18462	1,1,3,1,5
281200	2728629088	196	11	18463	1,1,3,1,3,1,1
281215	2728924568	196	11	18464	1,1,3,1,2,1,2
281229	2729220060	196	11	18465	1,1,3,1,2,1,1,1
281246	2729515580	196	11	18466	1,1,3,1,1,1,1,2
281260	2729811104	196	11	18467	1,1,3,1,1,1,1,1,1
281275	2730106648	196	11	18468	1,1,3,1,1,1,1,2
281289	2730402204	196	11	18469	1,1,3,1,1,1,2,1
281305	2730697792	196	11	18470	1,1,3,1,1,1,3
281319	2730993380	196	11	18471	1,1,3,1,1,1,1,1,1
281334	2731288988	196	11	18472	1,1,3,1,1,1,1,2
281348	2731584608	196	11	18473	1,1,3,1,1,1,1,1,1
281365	2731880256	196	11	18474	1,1,3,1,1,1,1,2
281379	2732175908	196	11	18475	1,1,3,1,1,1,1,1,1
281394	2732471580	196	11	18476	1,1,3,1,1,2,2
281408	2732767264	196	11	18477	1,1,3,1,1,3,1
281425	2733062988	196	11	18478	1,1,3,1,1,4
281439	2733358704	196	11	18479	1,1,3,1,1,2,1,1
281454	2733654440	196	11	18480	1,1,3,1,1,1,1,2
281468	2733950188	196	11	18481	1,1,3,1,1,1,1,1,1
281485	2734245964	196	11	18482	1,1,3,1,1,1,1,2
281499	2734541744	196	11	18483	1,1,3,1,1,1,1,1,1
281514	2734837544	196	11	18484	1,1,3,1,1,1,1,2
281528	2735133356	196	11	18485	1,1,3,1,1,1,2,1
281544	2735429200	196	11	18486	1,1,3,1,1,1,3
281558	2735725044	196	11	18487	1,1,3,1,1,1,1,1,1
281573	2736020908	196	11	18488	1,1,3,1,1,1,1,2
281587	2736316784	196	11	18489	1,1,3,1,1,1,1,1,1
281604	2736612688	196	11	18490	1,1,3,1,2,1,2
281618	2736908596	196	11	18491	1,1,3,1,2,1,1,1
281633	2737204524	196	11	18492	1,1,3,1,3,2
281647	2737500464	196	11	18493	1,1,3,1,4,1
281667	2737796456	196	11	18494	1,1,2,1,1,5
281681	2738092428	196	11	18495	1,1,2,1,1,3,1,1
281696	2738388420	196	11	18496	1,1,2,1,1,2,1,2
281710	2738684424	196	11	18497	1,1,2,1,1,2,1,1,1
281727	2738980456	196	11	18498	1,1,2,1,1,1,1,1,2
281741	2739276492	196	11	18499	1,1,2,1,1,1,1,1,1,1
281756	2739572548	196	11	18500	1,1,2,1,1,1,1,1,2
281770	2739868616	196	11	18501	1,1,2,1,1,1,1,2,1
281786	2740164716	196	11	18502	1,1,2,1,1,1,1,3
281800	2740460816	196	11	18503	1,1,2,1,1,1,1,1,1,1
281815	2740756936	196	11	18504	1,1,2,1,1,1,1,1,2
281829	2741053068	196	11	18505	1,1,2,1,1,1,1,1,1,1
281846	2741349228	196	11	18506	1,1,2,1,1,1,1,1,2
281860	2741645392	196	11	18507	1,1,2,1,1,1,1,1,1,1
281875	2741941576	196	11	18508	1,1,2,1,1,1,2,2
281889	2742237772	196	11	18509	1,1,2,1,1,1,3,1
281906	2742534008	196	11	18510	1,1,2,1,1,1,4
281920	2742830236	196	11	18511	1,1,2,1,1,1,2,1,1
281935	2743126484	196	11	18512	1,1,2,1,1,1,1,1,2
281949	2743422744	196	11	18513	1,1,2,1,1,1,1,1,1,1
281966	2743719032	196	11	18514	1,1,2,1,1,1,1,1,2
281980	2744015324	196	11	18515	1,1,2,1,1,1,1,1,1,1
281995	2744311636	196	11	18516	1,1,2,1,1,1,1,1,2
282009	2744607960	196	11	18517	1,1,2,1,1,1,1,2,1
282025	2744904316	196	11	18518	1,1,2,1,1,1,1,3
282039	2745200672	196	11	18519	1,1,2,1,1,1,1,1,1,1
282054	2745497048	196	11	18520	1,1,2,1,1,1,1,1,2
282068	2745793436	196	11	18521	1,1,2,1,1,1,1,1,1,1
282085	2746089852	196	11	18522	1,1,2,1,1,2,1,2
282099	2746386272	196	11	18523	1,1,2,1,1,2,1,1,1
282114	2746682712	196	11	18524	1,1,2,1,1,3,2
282128	2746979164	196	11	18525	1,1,2,1,1,4,1
282146	2747275660	196	11	18526	1,1,2,1,1,5
282160	2747572144	196	11	18527	1,1,2,1,1,3,1,1
282175	2747868648	196	11	18528	1,1,2,1,1,2,1,2
282189	2748165164	196	11	18529	1,1,2,1,1,2,1,1,1
282206	2748461708	196	11	18530	1,1,2,1,1,1,1,1,2
282220	2748758256	196	11	18531	1,1,2,1,1,1,1,1,1,1
282235	2749054824	196	11	18532	1,1,2,1,1,1,1,1,2
282249	2749351404	196	11	18533	1,1,2,1,1,1,1,2,1
282265	2749648016	196	11	18534	1,1,2,1,1,1,1,3
282279	2749944628	196	11	18535	1,1,2,1,1,1,1,1,1,1
282294	2750241260	196	11	18536	1,1,2,1,1,1,1,1,2
282308	2750537904	196	11	18537	1,1,2,1,1,1,1,1,1,1
282325	2750834576	196	11	18538	1,1,2,1,1,1,1,1,2
282339	2751131252	196	11	18539	1,1,2,1,1,1,1,1,1,1
282354	2751427948	196	11	18540	1,1,2,1,1,1,2,2
282368	2751724656	196	11	18541	1,1,2,1,1,1,3,1
282385	2752021404	196	11	18542	1,1,2,1,2,4
282399	2752318144	196	11	18543	1,1,2,1,2,2,1,1
282414	2752614904	196	11	18544	1,1,2,1,2,1,1,2
282428	2752911676	196	11	18545	1,1,2,1,2,1,1,1,1
282445	2753208476	196	11	18546	1,1,2,1,2,1,1,2
282459	2753505280	196	11	18547	1,1,2,1,2,1,1,1,1
282474	2753802104	196	11	18548	1,1,2,1,2,1,1,2
282488	2754098940	196	11	18549	1,1,2,1,2,1,2,1
282504	2754395808	196	11	18550	1,1,2,1,2,1,3
282518	2754692676	196	11	18551	1,1,2,1,2,1,1,1,1
282533	2754989564	196	11	18552	1,1,2,1,2,1,1,2
282547	2755286464	196	11	18553	1,1,2,1,2,1,1,1,1
282564	2755583392	196	11	18554	1,1,2,1,3,1,2
282578	2755880324	196	11	18555	1,1,2,1,3,1,1,1
282593	2756177276	196	11	18556	1,1,2,1,4,2
282607	2756474240	196	11	18557	1,1,2,1,5,1
282626	2756771260	196	11	18558	1,1,2,1,6
282640	2757068256	196	11	18559	1,1,2,1,4,1,1
282655	2757365272	196	11	18560	1,1,2,1,3,1,2
282669	2757662300	196	11	18561	1,1,2,1,3,1,1,1
282686	2757959356	196	11	18562	1,1,2,1,2,1,1,2
282700	2758256416	196	11	18563	1,1,2,1,2,1,1,1,1
282715	2758553496	196	11	18564	1,1,2,1,2,1,1,2
282729	2758850588	196	11	18565	1,1,2,1,2,1,2,1
282745	2759147712	196	11	18566	1,1,2,1,2,1,3
282759	2759444836	196	11	18567	1,1,2,1,2,1,1,1,1
282774	2759741980	196	11	18568	1,1,2,1,2,1,1,2
282788	2760039136	196	11	18569	1,1,2,1,2,1,1,1,1
282805	2760336320	196	11	18570	1,1,2,1,2,1,1,2
282819	2760633508	196	11	18571	1,1,2,1,2,1,1,1,1
282834	2760930716	196	11	18572	1,1,2,1,2,2,2
282848	2761227936	196	11	18573	1,1,2,1,2,3,1
282865	2761525196	196	11	18574	1,1,2,1,1,1,4
282879	2761822448	196	11	18575	1,1,2,1,1,1,2,1,1
282894	2762119720	196	11	18576	1,1,2,1,1,1,1,1,2
282908	2762417004	196	11	18577	1,1,2,1,1,1,1,1,1,1
282925	2762714316	196	11	18578	1,1,2,1,1,1,1,1,2
282939	2763011632	196	11	18579	1,1,2,1,1,1,1,1,1,1
282954	2763308968	196	11	18580	1,1,2,1,1,1,1,1,2
282968	2763606316	196	11	18581	1,1,2,1,1,1,1,2,1
282984	2763903696	196	11	18582	1,1,2,1,1,1,1,3
282998	2764201076	196	11	18583	1,1,2,1,1,1,1,1,1,1
283013	2764498476	196	11	18584	1,1,2,1,1,1,1,1,2
283027	2764795888	196	11	18585	1,1,2,1,1,1,1,1,1,1
283044	2765093328	196	11	18586	1,1,2,1,1,2,1,2
283058	2765390772	196	11	18587	1,1,2,1,1,2,1,1,1
283073	2765688236	196	11	18588	1,1,2,1,1,3,2
283087	2765985712	196	11	18589	1,1,2,1,1,4,1
283105	2766283232	196	11	18590	1,1,2,1,1,5
283119	2766580740	196	11	18591	1,1,2,1,1,3,1,1
283134	2766878268	196	11	18592	1,1,2,1,1,2,1,2
283148	2767175808	196	11	18593	1,1,2,1,1,2,1,1,1
283165	2767473376	196	11	18594	1,1,2,1,1,1,1,1,2
283179	2767770948	196	11	18595	1,1,2,1,1,1,1,1,1,1
283194	2768068540	196	11	18596	1,1,2,1,1,1,1,1,2
283208	2768366144	196	11	18597	1,1,2,1,1,1,1,2,1
283224	2768663780	196	11	18598	1,1,2,1,1,1,1,3
283238	2768961416	196	11	18599	1,1,2,1,1,1,1,1,1,1
283253	2769259072	196	11	18600	1,1,2,1,1,1,1,1,2
283267	2769556740	196	11	18601	1,1,2,1,1,1,1,1,1,1
283284	2769854436	196	11	18602	1,1,2,1,1,1,1,1,2
283298	2770152136	196	11	18603	1,1,2,1,1,1,1,1,1,1
283313	2770449856	196	11	18604	1,1,2,1,1,1,2,2
283327	2770747588	196	11	18605	1,1,2,1,1,1,3,1
283344	2771045360	196	11	18606	1,1,2,1,1,1,4
283358	2771343124	196	11	18607	1,1,2,1,1,1,2,1,1
283373	2771640908	196	11	18608	1,1,2,1,1,1,1,1,2
283387	2771938704	196	11	18609	1,1,2,1,1,1,1,1,1,1
283404	2772236528	196	11	18610	1,1,2,1,1,1,1,1,2
283418	2772534356	196	11	18611	1,1,2,1,1,1,1,1,1,1
283433	2772832204	196	11	18612	1,1,2,1,1,1,1,1,2
283447	2773130064	196	11	18613	1,1,2,1,1,1,1,2,1
283463	2773427956	196	11	18614	1,1,2,1,1,1,1,3
283477	2773725848	196	11	18615	1,1,2,1,1,1,1,1,1,1
283492	2774023760	196	11	18616	1,1,2,1,1,1,1,1,2
283506	2774321684	196	11	18617	1,1,2,1,1,1,1,1,1,1
283523	2774619636	196	11	18618	1,1,2,1,1,2,1,2
283537	2774917592	196	11	18619	1,1,2,1,1,2,1,1,1
283552	2775215568	196	11	18620	1,1,2,1,1,3,2
283566	2775513556	196	11	18621	1,1,2,1,1,4,1
283586	2775811596	196	11	18622	1,1,2,1,1,5
283600	2776109616	196	11	18623	1,1,2,1,1,3,1,1
283615	2776407656	196	11	18624	1,1,2,1,1,2,1,2
283629	2776705708	196	11	18625	1,1,2,1,1,2,1,1,1
283646	2777003788	196	11	18626	1,1,2,1,1,1,1,1,2
283660	2777301872	196	11	18627	1,1,2,1,1,1,1,1,1,1
283675	2777599976	196	11	18628	1,1,2,1,1,1,1,1,2
283689	2777898092	196	11	18629	1,1,2,1,1,1,1,2,1
283705	2778196240	196	11	18630	1,1,2,1,1,1,1,3
283719	2778494388	196	11	18631	1,1,2,1,1,1,1,1,1,1
283734	2778792556	196	11	18632	1,1,2,1,1,1,1,1,2
283748	2779090736	196	11	18633	1,1,2,1,1,1,1,1,1,1
283765	2779388944	196	11	18634	1,1,2,1,1,1,1,1,2
283779	2779687156	196	11	18635	1,1,2,1,1,1,1,1,1,1
283794	2779985388	196	11	18636	1,1,2,1,1,1,2,2
283808	2780283632	196	11	18637	1,1,2,1,1,1,3,1
283825	2780581916	196	11	18638	1,1,2,1,1,1,4
283839	2780880192	196	11	18639	1,1,2,1,1,1,2,1,1
283854	2781178488	196	11	18640	1,1,2,1,1,1,1,1,2
283868	2781476796	196	11	18641	1,1,2,1,1,1,1,1,1,1
283885	2781775132	196	11	18642	1,1,2,1,1,1,1,1,2
283899	2782073472	196	11	18643	1,1,2,1,1,1,1,1,1,1
283914	2782371832	196	11	18644	1,1,2,1,1,1,1,1,2
283928	2782670204	196	11	18645	1,1,2,1,1,1,1,2,1
283944	2782968608	196	11	18646	1,1,2,1,1,1,1,3
283958	2783267012	196	11	18647	1,1,2,1,1,1,1,1,1,1
283973	2783565436	196	11	18648	1,1,2,1,1,1,1,1,2
283987	2783863872	196	11	18649	1,1,2,1,1,1,1,1,1,1
284004	2784162336	196	11	18650	1,1,2,1,1,2,1,2
284018	2784460804	196	11	18651	1,1,2,1,1,2,1,1,1
284033	2784759292	196	11	18652	1,1,2,1,1,3,2
284047	2785057792	196	11	18653	1,1,2,1,1,4,1
284065	2785356336	196	11	18654	1,1,2,2,5
284079	2785654868	196	11	18655	1,1,2,2,3,1,1
284094	2785953420	196	11	18656	1,1,2,2,2,1,2
284108	2786251984	196	11	18657	1,1,2,2,2,1,1,1
284125	2786550576	196	11	18658	1,1,2,2,1,1,1,2
284139	2786849172	196	11	18659	1,1,2,2,1,1,1,1,1
284154	2787147788	196	11	18660	1,1,2,2,1,1,1,2
284168	2787446416	196	11	18661	1,1,2,2,1,1,2,1
284184	2787745076	196	11	18662	1,1,2,2,1,1,3
284198	2788043736	196	11	18663	1,1,2,2,1,1,1,1,1
284213	2788342416	196	11	18664	1,1,2,2,1,1,1,2
284227	2788641108	196	11	18665	1,1,2,2,1,1,1,1,1
284244	2788939828	196	11	18666	1,1,2,2,1,1,1,2
284258	2789238552	196	11	18667	1,1,2,2,1,1,1,1,1
284273	2789537296	196	11	18668	1,1,2,2,1,2,2
284287	2789836052	196	11	18669	1,1,2,2,1,3,1
284304	2790134848	196	11	18670	1,1,2,3,4
284318	2790433636	196	11	18671	1,1,2,3,2,1,1
284333	2790732444	196	11	18672	1,1,2,3,1,1,2
284347	2791031264	196	11	18673	1,1,2,3,1,1,1,1
284364	2791330112	196	11	18674	1,1,2,3,1,1,2
284378	2791628964	196	11	18675	1,1,2,3,1,1,1,1
284393	2791927836	196	11	18676	1,1,2,3,1,1,2
284407	2792226720	196	11	18677	1,1,2,3,1,2,1
284423	2792525636	196	11	18678	1,1,2,3,1,3
284437	2792824552	196	11	18679	1,1,2,3,1,1,1,1
284452	2793123488	196	11	18680	1,1,2,3,1,1,2
284466	2793422436	196	11	18681	1,1,2,3,1,1,1,1
284483	2793721412	196	11	18682	1,1,2,4,1,2
284497	2794020392	196	11	18683	1,1,2,4,1,1,1
284512	2794319392	196	11	18684	1,1,2,5,2
284526	2794618404	196	11	18685	1,1,2,6,1
284546	2794917480	196	11	18686	1,1,1,1,7
284560	2795216524	196	11	18687	1,1,1,1,5,1,1
284575	2795515588	196	11	18688	1,1,1,1,4,1,2
284589	2795814664	196	11	18689	1,1,1,1,4,1,1,1
284606	2796113768	196	11	18690	1,1,1,1,3,1,1,2
284620	2796412876	196	11	18691	1,1,1,1,3,1,1,1,1
284635	2796712004	196	11	18692	1,1,1,1,3,1,1,2
284649	2797011144	196	11	18693	1,1,1,1,3,1,2,1
284665	2797310316	196	11	18694	1,1,1,1,3,1,3
284679	2797609488	196	11	18695	1,1,1,1,3,1,1,1,1
284694	2797908680	196	11	18696	1,1,1,1,3,1,1,2
284708	2798207884	196	11	18697	1,1,1,1,3,1,1,1,1
284725	2798507116	196	11	18698	1,1,1,1,3,1,1,2
284739	2798806352	196	11	18699	1,1,1,1,3,1,1,1,1
284754	2799105608	196	11	18700	1,1,1,1,3,2,2
284768	2799404876	196	11	18701	1,1,1,1,3,3,1
284785	2799704184	196	11	18702	1,1,1,1,2,1,4
284799	2800003484	196	11	18703	1,1,1,1,2,1,2,1,1
284814	2800302804	196	11	18704	1,1,1,1,2,1,1,1,2
284828	2800602136	196	11	18705	1,1,1,1,2,1,1,1,1,1
284845	2800901496	196	11	18706	1,1,1,1,2,1,1,1,2
284859	2801200860	196	11	18707	1,1,1,1,2,1,1,1,1,1
284874	2801500244	196	11	18708	1,1,1,1,2,1,1,1,2
284888	2801799640	196	11	18709	1,1,1,1,2,1,1,2,1
284904	2802099068	196	11	18710	1,1,1,1,2,1,1,3
284918	2802398496	196	11	18711	1,1,1,1,2,1,1,1,1,1
284933	2802697944	196	11	18712	1,1,1,1,2,1,1,1,2
284947	2802997404	196	11	18713	1,1,1,1,2,1,1,1,1,1
284964	2803296892	196	11	18714	1,1,1,1,2,2,1,2
284978	2803596384	196	11	18715	1,1,1,1,2,2,1,1,1
284993	2803895896	196	11	18716	1,1,1,1,2,3,2
285007	2804195420	196	11	18717	1,1,1,1,2,4,1
285025	2804494988	196	11	18718	1,1,1,1,1,1,5
285039	2804794544	196	11	18719	1,1,1,1,1,1,3,1,1
285054	2805094120	196	11	18720	1,1,1,1,1,1,2,1,2
285068	2805393708	196	11	18721	1,1,1,1,1,1,2,1,1,1
285085	2805693324	196	11	18722	1,1,1,1,1,1,1,1,1,2
285099	2805992944	196	11	18723	1,1,1,1,1,1,1,1,1,1,1
285114	2806292584	196	11	18724	1,1,1,1,1,1,1,1,1,2
285128	2806592236	196	11	18725	1,1,1,1,1,1,1,1,2,1
285144	2806891920	196	11	18726	1,1,1,1,1,1,1,1,3
285158	2807191604	196	11	18727	1,1,1,1,1,1,1,1,1,1,1
285173	2807491308	196	11	18728	1,1,1,1,1,1,1,1,1,2
285187	2807791024	196	11	18729	1,1,1,1,1,1,1,1,1,1,1
285204	2808090768	196	11	18730	1,1,1,1,1,1,1,1,1,2
285218	2808390516	196	11	18731	1,1,1,1,1,1,1,1,1,1,1
285233	2808690284	196	11	18732	1,1,1,1,1,1,1,2,2
285247	2808990064	196	11	18733	1,1,1,1,1,1,1,3,1
285264	2809289884	196	11	18734	1,1,1,1,1,1,1,4
285278	2809589696	196	11	18735	1,1,1,1,1,1,1,2,1,1
285293	2809889528	196	11	18736	1,1,1,1,1,1,1,1,1,2
285307	2810189372	196	11	18737	1,1,1,1,1,1,1,1,1,1,1
285324	2810489244	196	11	18738	1,1,1,1,1,1,1,1,1,2
285338	2810789120	196	11	18739	1,1,1,1,1,1,1,1,1,1,1
285353	2811089016	196	11	18740	1,1,1,1,1,1,1,1,1,2
285367	2811388924	196	11	18741	1,1,1,1,1,1,1,1,2,1
285383	2811688864	196	11	18742	1,1,1,1,1,1,1,1,3
285397	2811988804	196	11	18743	1,1,1,1,1,1,1,1,1,1,1
285412	2812288764	196	11	18744	1,1,1,1,1,1,1,1,1,2
285426	2812588736	196	11	18745	1,1,1,1,1,1,1,1,1,1,1
285443	2812888736	196	11	18746	1,1,1,1,1,1,2,1,2
285457	2813188740	196	11	18747	1,1,1,1,1,1,2,1,1,1
285472	2813488764	196	11	18748	1,1,1,1,1,1,3,2
285486	2813788800	196	11	18749	1,1,1,1,1,1,4,1
285506	2814088888	196	11	18750	1,1,1,1,1,1,5
285520	2814388956	196	11	18751	1,1,1,1,1,1,3,1,1
285535	2814689044	196	11	18752	1,1,1,1,1,1,2,1,2
285549	2814989144	196	11	18753	1,1,1,1,1,1,2,1,1,1
285566	2815289272	196	11	18754	1,1,1,1,1,1,1,1,1,2
285580	2815589404	196	11	18755	1,1,1,1,1,1,1,1,1,1,1
285595	2815889556	196	11	18756	1,1,1,1,1,1,1,1,1,2
285609	2816189720	196	11	18757	1,1,1,1,1,1,1,1,2,1
285625	2816489916	196	11	18758	1,1,1,1,1,1,1,1,3
285639	2816790112	196	11	18759	1,1,1,1,1,1,1,1,1,1,1
285654	2817090328	196	11	18760	1,1,1,1,1,1,1,1,1,2
285668	2817390556	196	11	18761	1,1,1,1,1,1,1,1,1,1,1
285685	2817690812	196	11	18762	1,1,1,1,1,1,1,1,1,2
285699	2817991072	196	11	18763	1,1,1,1,1,1,1,1,1,1,1
285714	2818291352	196	11	18764	1,1,1,1,1,1,1,2,2
285728	2818591644	196	11	18765	1,1,1,1,1,1,1,3,1
285745	2818891976	196	11	18766	1,1,1,1,1,1,1,4
285759	2819192300	196	11	18767	1,1,1,1,1,1,1,2,1,1
285774	2819492644	196	11	18768	1,1,1,1,1,1,1,1,1,2
285788	2819793000	196	11	18769	1,1,1,1,1,1,1,1,1,1,1
285805	2820093384	196	11	18770	1,1,1,1,1,1,1,1,1,2
285819	2820393772	196	11	18771	1,1,1,1,1,1,1,1,1,1,1
285834	2820694180	196	11	18772	1,1,1,1,1,1,1,1,1,2
285848	2820994600	196	11	18773	1,1,1,1,1,1,1,1,2,1
285864	2821295052	196	11	18774	1,1,1,1,1,1,1,1,3
285878	2821595504	196	11	18775	1,1,1,1,1,1,1,1,1,1,1
285893	2821895976	196	11	18776	1,1,1,1,1,1,1,1,1,2
285907	2822196460	196	11	18777	1,1,1,1,1,1,1,1,1,1,1
